book_id,title,price_gbp,price_inr,rating,in_stock
1,It's Only the Himalayas,45.17,4765.44,2,1
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1
6,A Summer In Europe,44.34,4677.87,2,1
8,A Year in Provence (Provence #1),56.88,6000.84,4,1
12,Sharp Objects,47.82,5045.01,4,1
14,The Past Never Ends,56.5,5960.75,4,1
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1
17,The Last Mile (Amos Decker #2),54.21,5719.16,2,1
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5,1
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1
35,The Exiled,43.45,4583.98,3,1
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1
43,1st to Die (Women's Murder Club #1),53.98,5694.89,1,1
44,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4532.28,4,1
45,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6051.48,5,1
46,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4720.07,4,1
48,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,5898.5,1,1
54,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,6050.42,5,1
60,The Pilgrim's Progress,50.26,5302.43,2,1
64,Candide,58.63,6185.46,3,1
65,Animal Farm,57.22,6036.71,3,1
71,The Story of Hong Gildong,43.19,4556.54,4,1
72,The Little Prince,45.42,4791.81,2,1
74,Of Mice and Men,47.11,4970.1,2,1
76,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.42,1,1
77,Tipping the Velvet,53.74,5669.57,1,1
79,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1
83,Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,1
94,The Last Painting of Sara de Vos,55.55,5860.52,2,1
95,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,1
96,Girl in the Blue Coat,46.83,4940.56,2,1
98,While You Were Mine,41.32,4359.26,5,1
108,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,4551.27,1,1
112,"Rich Dad, Poor Dad",51.74,5458.57,1,1
114,Rework,44.88,4734.84,2,1
117,Behind Closed Doors,52.22,5509.21,4,1
118,You (You #1),43.61,4600.85,5,1
123,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,6299.4,3,1
