book_id,title,price_gbp,price_inr,rating,in_stock
42,Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1
84,"Love, Lies and Spies",20.55,2168.02,2,1
97,Between Shades of Gray,20.79,2193.34,5,1
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,1
109,The Art of Startup Fundraising,21.0,2215.5,3,1
92,Voyager (Outlander #3),21.07,2222.89,5,1
110,Born for This: How to Find the Work You Were Meant to Do,21.59,2277.74,5,1
34,The Silkworm (Cormoran Strike #2),23.05,2431.78,5,1
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1
116,The Elephant Tree,23.82,2513.01,5,1
106,Shoe Dog: A Memoir by the Creator of NIKE,23.99,2530.94,2,1
38,Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1
37,Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1
55,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2725.06,2,1
100,Starlark,25.83,2725.06,3,1
11,"1,000 Places to See Before You Die",26.08,2751.44,5,1
91,Girl With a Pearl Earring,26.77,2824.24,1,1
68,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,1
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1
27,The Widow,27.26,2875.93,2,1
105,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,2906.52,3,1
101,Lost Among the Living,27.7,2922.35,4,1
62,Little Women (Little Women #1),28.07,2961.38,4,1
82,The Marriage of Opposites,28.08,2962.44,4,1
90,The Passion of Dolssa,28.32,2987.76,5,1
49,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,2997.26,1,1
59,The Metamorphosis,28.58,3015.19,1,1
57,The Selfish Gene,29.45,3106.98,1,1
78,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,1
67,The Picture of Dorian Gray,29.7,3133.35,2,1
